"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity","ageRange"
"1",-120.79,37.82,17,4227,729,1809,679,3.2667,269500,"INLAND","10-20"
"2",-121.81,37.25,5,1975,520,861,440,4.4565,159000,"<1H OCEAN","<10"
"3",-118.36,33.9,40,1271,276,725,234,5.0452,231900,"<1H OCEAN","40-50"
"4",-117.97,33.73,18,3698,574,2046,614,6.2984,269800,"<1H OCEAN","10-20"
"5",-117.97,33.87,28,1784,440,1255,433,3.7054,169200,"<1H OCEAN","20-30"
"6",-118.11,33.89,35,1139,197,772,233,4.375,204700,"<1H OCEAN","30-40"
"7",-121.25,38.03,29,2465,327,859,315,6.6605,220700,"INLAND","20-30"
"8",-118.1,34.57,7,20377,4335,11973,3933,3.3086,138100,"INLAND","<10"
"9",-118.2,34.04,52,1249,307,1223,297,2.07,136300,"<1H OCEAN","50+"
"10",-121.38,36.85,13,4115,782,2903,747,3.7316,192400,"INLAND","10-20"
"11",-118.19,34.13,50,1309,302,883,293,3.1287,198000,"<1H OCEAN","50+"
"12",-117.98,33.94,32,2562,491,1222,446,4.0985,226200,"<1H OCEAN","30-40"
"13",-117.01,32.73,22,2526,530,1556,529,2.8646,120800,"NEAR OCEAN","20-30"
"14",-118.28,34.05,41,1788,774,2931,702,1.4413,158900,"<1H OCEAN","40-50"
"15",-118.12,34.16,52,2218,437,1211,422,5.0237,241900,"<1H OCEAN","50+"
"16",-117.93,33.8,34,3903,717,2054,716,4.2731,218000,"<1H OCEAN","30-40"
"17",-121.96,38.36,11,3208,790,1772,694,2.7434,218800,"INLAND","10-20"
"18",-118.27,33.94,30,1041,275,877,270,1.5268,91600,"<1H OCEAN","30-40"
"19",-117.88,34.11,30,3082,602,2008,619,4.1411,182700,"<1H OCEAN","30-40"
"20",-117.13,33.14,12,2258,456,1147,433,4.0495,153900,"<1H OCEAN","10-20"
"21",-121.99,37.55,28,2414,415,1106,453,4.8403,268600,"<1H OCEAN","20-30"
"22",-118.2,33.8,52,1786,445,1090,430,2.8988,194900,"NEAR OCEAN","50+"
"23",-123.75,39.37,16,1377,296,830,279,3.25,151400,"<1H OCEAN","10-20"
"24",-121.32,39.43,18,1860,409,741,349,1.8672,84700,"INLAND","10-20"
"25",-122.3,37.55,35,3675,735,1930,715,3.9833,342800,"NEAR OCEAN","30-40"
"26",-119.83,36.73,21,1702,358,1347,316,2.4137,62100,"INLAND","20-30"
"27",-118.04,33.92,35,2469,522,2151,537,3.4219,156200,"<1H OCEAN","30-40"
"28",-122.3,37.81,48,828,182,392,133,2.5938,73500,"NEAR BAY","40-50"
"29",-118.29,34.17,17,3852,1066,2986,993,2.3482,255400,"<1H OCEAN","10-20"
"30",-122.28,37.88,52,1909,416,811,406,3.006,227900,"NEAR BAY","50+"
"31",-116.46,33.79,10,6960,1487,1130,661,2.1411,136400,"INLAND","10-20"
"32",-121.42,38.6,35,1166,193,574,190,2.2452,102800,"INLAND","30-40"
"33",-117.98,34.02,33,3512,632,1971,598,4.4653,193200,"<1H OCEAN","30-40"
"34",-118.47,34.05,22,5215,1193,2048,1121,4.7009,500001,"<1H OCEAN","20-30"
"35",-121.3,38.61,25,2707,464,1423,490,4.3235,116900,"INLAND","20-30"
"36",-118.49,34.03,31,4949,1293,1985,1244,4.252,436700,"<1H OCEAN","30-40"
"37",-121.99,37.36,32,1754,324,917,330,4.6761,298300,"<1H OCEAN","30-40"
"38",-122.25,37.85,52,1274,235,558,219,5.6431,341300,"NEAR BAY","50+"
"39",-118.4,34.19,37,934,231,587,230,3.625,181300,"<1H OCEAN","30-40"
"40",-118.27,34.08,38,2265,801,2899,792,2.5521,157500,"<1H OCEAN","30-40"
"41",-118.17,34.08,33,851,231,936,228,3.375,147500,"<1H OCEAN","30-40"
"42",-122.24,37.8,52,1591,373,1118,347,2.1563,128600,"NEAR BAY","50+"
"43",-118.15,33.78,12,4436,1133,2176,1002,3.5812,198600,"NEAR OCEAN","10-20"
"44",-121.38,38.49,11,8537,1643,4224,1648,2.9647,108900,"INLAND","10-20"
"45",-117.24,34.04,5,1775,234,726,222,7.978,223900,"INLAND","<10"
"46",-118.42,34.04,52,1358,272,574,267,5.6454,500001,"<1H OCEAN","50+"
"47",-118.53,34.17,18,6430,1412,2897,1348,3.855,243800,"<1H OCEAN","10-20"
"48",-118.43,34.25,35,1447,335,1630,306,2.9205,143100,"<1H OCEAN","30-40"
"49",-121.88,37.44,17,1621,299,1028,293,5.2722,186900,"<1H OCEAN","10-20"
"50",-121.98,37.14,37,74,19,63,17,9.5908,350000,"<1H OCEAN","30-40"
"51",-118.42,33.78,36,2093,303,802,300,8.0957,500001,"NEAR OCEAN","30-40"
"52",-119.76,36.78,30,6117,1330,2768,1224,2.1383,78800,"INLAND","30-40"
"53",-118.34,33.9,23,2395,498,1309,493,4.9779,224600,"<1H OCEAN","20-30"
"54",-117.23,32.81,24,3271,508,1496,482,5.9359,422200,"NEAR OCEAN","20-30"
"55",-117.99,33.88,15,2298,567,1261,527,4.2422,159400,"<1H OCEAN","10-20"
"56",-117.77,34.07,36,2922,652,2392,629,2.8661,124000,"INLAND","30-40"
"57",-117.89,33.66,33,3595,785,1621,732,4.1372,265200,"<1H OCEAN","30-40"
"58",-119.07,35.27,25,3081,635,1830,591,2.5804,97900,"INLAND","20-30"
"59",-122.46,37.7,37,1028,275,904,261,3.5035,238600,"NEAR OCEAN","30-40"
"60",-117.59,33.88,7,3586,959,2695,877,2.4387,117000,"INLAND","<10"
"61",-117.02,34.88,18,2127,443,1168,401,3.0313,80000,"INLAND","10-20"
"62",-122.67,38.44,32,3771,741,1786,721,3.2415,172200,"<1H OCEAN","30-40"
"63",-118.41,34.16,32,3060,505,1159,510,6.3703,465800,"<1H OCEAN","30-40"
"64",-117.02,32.84,17,4013,673,2263,661,5.131,148300,"<1H OCEAN","10-20"
"65",-117.25,34.16,35,2707,481,1595,479,3.9018,91500,"INLAND","30-40"
"66",-122.56,41.53,29,1729,355,848,328,2.2024,60900,"INLAND","20-30"
"67",-117.24,33.77,9,6907,1379,3665,1290,2.8401,104200,"INLAND","<10"
"68",-117.95,33.8,34,1654,285,905,292,4.6389,214600,"<1H OCEAN","30-40"
"69",-122.68,41.15,32,817,206,224,89,3.631,90400,"INLAND","30-40"
"70",-119.42,35.97,21,554,121,426,122,2.3516,47500,"INLAND","20-30"
"71",-121.47,38.52,42,2316,515,1597,522,1.8205,60400,"INLAND","40-50"
"72",-117.25,34.13,35,861,148,381,138,2.5234,88200,"INLAND","30-40"
"73",-117.15,32.71,52,402,183,557,172,1.3125,87500,"NEAR OCEAN","50+"
"74",-117.01,32.77,24,2311,536,1005,525,2.9,185200,"<1H OCEAN","20-30"
"75",-117.91,33.74,15,715,214,1394,244,3.3846,162500,"<1H OCEAN","10-20"
"76",-118.85,34.18,11,5873,1455,3089,1365,3.5504,173800,"<1H OCEAN","10-20"
"77",-117.91,33.81,18,1181,353,781,340,2.5625,153100,"<1H OCEAN","10-20"
"78",-122.01,37.32,32,3108,613,1577,603,4.6613,284000,"<1H OCEAN","30-40"
"79",-122.08,37.69,43,1575,324,740,284,2.8512,181000,"NEAR BAY","40-50"
"80",-121.01,37.63,41,2764,639,2122,600,1.9643,74900,"INLAND","40-50"
"81",-121.83,37.32,17,1887,664,1906,597,2.5652,165300,"<1H OCEAN","10-20"
"82",-117.89,33.61,45,1883,419,653,328,4.2222,500001,"<1H OCEAN","40-50"
"83",-117.05,33.13,17,2385,372,1118,369,4.2813,169900,"<1H OCEAN","10-20"
"84",-118.43,34.03,39,1733,429,855,387,3.2308,340800,"<1H OCEAN","30-40"
"85",-117.16,33.61,3,2744,428,1223,366,4.7944,215300,"<1H OCEAN","<10"
"86",-117.91,33.64,40,1958,333,876,364,3.6406,326100,"<1H OCEAN","40-50"
"87",-122.45,37.77,52,2191,627,1100,585,3.0409,5e+05,"NEAR BAY","50+"
"88",-117.37,34.01,15,1386,247,703,185,3.6415,124200,"INLAND","10-20"
"89",-118.32,33.94,36,1722,280,830,261,4.0536,189000,"<1H OCEAN","30-40"
"90",-118,33.88,28,1624,289,755,280,4.7083,268100,"<1H OCEAN","20-30"
"91",-124.23,41.75,11,3159,616,1343,479,2.4805,73200,"NEAR OCEAN","10-20"
"92",-121.28,37.95,46,1026,330,1109,333,1.2904,63300,"INLAND","40-50"
"93",-118.16,34.02,35,1734,493,2053,508,2.1442,149200,"<1H OCEAN","30-40"
"94",-122.1,37.36,32,1433,199,498,201,9.3586,500001,"NEAR BAY","30-40"
"95",-122.41,37.75,52,3065,622,1405,606,3.7813,275900,"NEAR BAY","50+"
"96",-118.39,33.86,28,3619,764,1735,789,6.1404,368400,"<1H OCEAN","20-30"
"97",-117.18,32.75,52,1504,208,518,196,8.603,459600,"NEAR OCEAN","50+"
"98",-119.4,37.09,22,2211,477,773,288,3.3269,102700,"INLAND","20-30"
"99",-118.21,33.89,42,1739,370,1104,297,2.2125,120700,"<1H OCEAN","40-50"
"100",-118.48,34,52,1359,395,521,368,2.6736,500001,"<1H OCEAN","50+"
"101",-122.32,38,32,2275,397,1233,418,4.0437,162800,"NEAR BAY","30-40"
"102",-121.28,37.93,23,1491,346,1223,343,2.1591,67800,"INLAND","20-30"
"103",-121.45,38.57,52,2006,412,825,384,3.2963,236100,"INLAND","50+"
"104",-121.13,39.31,17,3442,705,1693,619,2.8102,128900,"INLAND","10-20"
"105",-122.24,37.47,36,2021,433,1117,432,3.929,303100,"NEAR OCEAN","30-40"
"106",-115.56,32.8,25,1311,375,1193,351,2.1979,63900,"INLAND","20-30"
"107",-121.68,39.29,29,1860,400,1137,365,1.5281,61600,"INLAND","20-30"
"108",-117.09,32.66,46,844,147,423,161,3.375,136300,"NEAR OCEAN","40-50"
"109",-119.61,36.58,29,1312,280,788,271,2.6974,73000,"INLAND","20-30"
"110",-118.24,33.83,22,7368,1367,4721,1342,4.8438,213100,"<1H OCEAN","20-30"
"111",-121.53,39.44,26,1340,255,662,239,2.6071,57100,"INLAND","20-30"
"112",-116.99,34.89,24,2741,577,1551,522,3.474,70500,"INLAND","20-30"
"113",-120.59,37.35,15,3249,613,1569,595,3.5393,88000,"INLAND","10-20"
"114",-119.75,36.76,32,2072,497,2002,470,1.3278,44500,"INLAND","30-40"
"115",-118.06,34.08,42,1988,402,1239,402,3.2569,201500,"<1H OCEAN","40-50"
"116",-122.26,37.54,13,1422,295,395,195,5.3247,327800,"NEAR BAY","10-20"
"117",-118.22,34.07,35,1504,477,2059,498,2.0133,145800,"<1H OCEAN","30-40"
"118",-117.99,33.82,19,1991,528,1202,460,3.1538,252100,"<1H OCEAN","10-20"
"119",-118.2,34.11,37,2040,611,1698,545,1.9355,166300,"<1H OCEAN","30-40"
"120",-118.12,33.95,36,2752,459,1211,452,5.0526,269800,"<1H OCEAN","30-40"
"121",-118.31,33.8,31,4464,991,2420,947,4.0425,277900,"<1H OCEAN","30-40"
"122",-118.31,33.73,52,2025,361,957,363,4.2059,350000,"NEAR OCEAN","50+"
"123",-118.4,34.08,52,3815,439,1266,413,15.0001,500001,"<1H OCEAN","50+"
"124",-115.38,32.82,38,1892,394,1175,374,1.9939,65800,"INLAND","30-40"
"125",-122.42,37.75,52,1609,510,1155,439,2.2328,250000,"NEAR BAY","50+"
"126",-121.63,39.12,34,1991,348,804,344,3.4492,98800,"INLAND","30-40"
"127",-122.04,37.95,29,866,138,341,133,4.7188,197100,"NEAR BAY","20-30"
"128",-117.21,34.11,26,1757,304,905,281,3.4103,90900,"INLAND","20-30"
"129",-117.38,34.08,11,5684,1139,3095,1036,3.6875,112600,"INLAND","10-20"
"130",-121.92,36.62,52,1410,303,578,285,2.5625,235400,"NEAR OCEAN","50+"
"131",-122.18,37.89,18,4845,735,1634,734,8.1489,499000,"NEAR BAY","10-20"
"132",-122.04,38.25,52,582,131,241,106,2.4,125000,"INLAND","50+"
"133",-122.32,37.91,34,2669,647,1341,555,2.6399,119600,"NEAR BAY","30-40"
"134",-121.28,38.13,32,3366,676,1916,697,2.5401,125400,"INLAND","30-40"
